Main | TueJun18 @ 11:24:42PM CDT | [Info] This log can be found at logs-3/0618939-log_2024-06-18_23-24-42.log.
Main | TueJun18 @ 11:24:42PM CDT | [Info] nprocs = 201
Main | TueJun18 @ 11:24:42PM CDT | [Info] Packages and prereqs loaded, running with allocated threads = 100.
Main | TueJun18 @ 11:24:43PM CDT | [Info] n set to 9
Main | TueJun18 @ 11:24:43PM CDT | [Info] wrote new pd to models/Jun18/0618939_n=9.model
Main | WedJun19 @ 1:47:3AM CDT | [Info] [0] loss = 0.09861434465068852. took 8532.402814865112 sec. 100 threads.
Main | WedJun19 @ 4:27:49AM CDT | [Info] [1] loss = 0.07689534275983434. took 9643.88082408905 sec. 100 threads.
Main | WedJun19 @ 7:13:32AM CDT | [Info] [2] loss = 0.05907884603988921. took 9940.826792001724 sec. 100 threads.
Main | WedJun19 @ 9:55:38AM CDT | [Info] [3] loss = 0.053479676295399806. took 9723.43836903572 sec. 100 threads.
Main | WedJun19 @ 12:47:7PM CDT | [Info] [4] loss = 0.05133050476536057. took 10286.281879901886 sec. 100 threads.
Main | WedJun19 @ 3:38:2PM CDT | [Info] [5] loss = 0.048091867866488794. took 10252.44466996193 sec. 100 threads.
Main | WedJun19 @ 6:33:12PM CDT | [Info] [6] loss = 0.04789911836899379. took 10507.623564958572 sec. 100 threads.
Main | WedJun19 @ 9:26:29PM CDT | [Info] [7] loss = 0.047345347693223794. took 10394.33877491951 sec. 100 threads.
Main | ThuJun20 @ 12:19:20AM CDT | [Info] [8] loss = 0.04678131236211615. took 10367.744297981262 sec. 100 threads.
Main | ThuJun20 @ 3:13:28AM CDT | [Info] [9] loss = 0.0455296878479354. took 10445.749251842499 sec. 100 threads.
Main | ThuJun20 @ 6:4:15AM CDT | [Info] [10] loss = 0.04438636534597202. took 10244.136033058167 sec. 100 threads.
Main | ThuJun20 @ 8:56:21AM CDT | [Info] [11] loss = 0.04172809566794671. took 10323.240718126297 sec. 100 threads.
Main | ThuJun20 @ 11:49:43AM CDT | [Info] [12] loss = 0.041190395252291144. took 10399.287635087967 sec. 100 threads.
Main | ThuJun20 @ 2:44:17PM CDT | [Info] [13] loss = 0.037150435048043426. took 10472.066488027573 sec. 100 threads.
Main | ThuJun20 @ 5:40:48PM CDT | [Info] [14] loss = 0.03464032636188867. took 10588.318212985992 sec. 100 threads.
